index,output
501,0.5052658662092625
502,0.4440060645782174
503,0.609671875
504,0.6223990016252611
505,0.25253375466755335
506,0.5286042099138053
507,0.1424077121114081
508,0.5414686321853688
509,0.5677711736338572
510,0.7269138418079096
511,0.17348874923349
512,0.22280953859542632
513,0.6202682563338302
514,0.4288888888888889
515,0.1930828215548102
516,0.8092575918079096
517,0.3860621859475136
518,0.887421875
519,0.7296263586956522
520,0.47916666666666674
521,0.28036597250409473
522,0.665497175141243
523,0.4810697822286748
524,0.6349909420289855
525,0.5223926215677251
526,0.40257085020242916
527,0.7081770833333334
528,0.8080798368298369
529,0.5090491651205937
530,0.2749349840205981
531,0.4845541415012942
532,0.6745833333333334
533,0.5193720930232558
534,0.44388917072072137
535,0.790921875
536,0.4408783783783784
537,0.2095030782583304
538,0.4924979674796748
539,0.7205665290880503
540,0.67734375
541,0.49888785777468875
542,0.7513107638888888
543,0.6716666666666665
544,0.7370629895351822
545,0.15316931245747759
546,0.2712857278118906
547,0.12761443229359926
548,0.6436192681644988
549,0.602421875
550,0.6561638418079095
551,0.5309018264840183
552,0.44628401360544223
553,0.74984375
554,0.6806770833333334
555,0.1981117243815968
556,0.44994966399968944
557,0.3126368379651755
558,0.23477011610756
559,0.2328582152542398
560,0.3022749888239037
561,0.17293143004411363
562,0.2830608324210284
563,0.21958751166620769
564,0.6877523834745761
565,0.5990885416666667
566,0.780455426356589
567,0.8106770833333334
568,0.4508365091463415
569,0.5332552083333333
570,0.2247860227408708
571,0.47583333333333333
572,0.22889928218516997
573,0.8505023834745764
574,0.280045045045045
575,0.6191666666666668
576,0.4133774134441071
577,0.6291666666666667
578,0.6714779874213836
579,0.2916087515886954
580,0.36270782155481013
581,0.22924078175381518
582,0.34385227272727276
583,0.6257528274021473
584,0.36021733450540866
585,0.6716666666666667
586,0.33971828047121666
587,0.3404157845418156
588,0.6009095671250635
589,0.2691724584891521
590,0.7114722222222221
591,0.3695584249960147
592,0.7138692597848488
593,0.4418003143658881
594,0.16174038264679752
595,0.3173644399620313
596,0.29086734693877553
597,0.31544375319146023
598,0.4491587699247852
599,0.4886787125917561
600,0.6755340136054422
601,0.31462589921108586
602,0.17569775192674747
603,0.589921875
604,0.5930230386052304
605,0.3064858226152955
606,0.5252272727272728
607,0.6405
608,0.5270200343958096
609,0.17087902558545526
610,0.18791365096618418
611,0.6009988511358535
612,0.35314284624599696
613,0.6608333333333334
614,0.18041973467117536
615,0.16774728441956546
616,0.626171875
617,0.15795268940753746
618,0.6350340136054422
619,0.4291666666666667
620,0.7789270833333333
621,0.2646467132316996
622,0.44328118874668504
623,0.28517261436545616
624,0.6891666666666666
625,0.19574097769582577
626,0.8022523834745763
627,0.4614408460279411
628,0.5823755535196213
629,0.5727981812457619
630,0.7339190501412429
631,0.464921875
632,0.47208333333333335
633,0.6027279874213837
634,0.6283764836098382
635,0.3842691734227938
636,0.4681548340418364
637,0.14944738268687133
638,0.7997523834745763
639,0.619921875
640,0.4131478269467553
641,0.597416939454983
642,0.742669050141243
643,0.5932605542216887
644,0.25946350991663114
645,0.4050431502765048
646,0.26792861579732546
647,0.44647018970189706
648,0.40996724843339677
649,0.19748037432258478
650,0.7935023834745764
651,0.5956439393939393
652,0.39646691014305824
653,0.48188536162644596
654,0.4685164946660483
655,0.6952272727272728
656,0.332842587145723
657,0.2328327447174697
658,0.2781082985786125
659,0.70125
660,0.5627178214231662
661,0.7519746056967985
662,0.12408345383356767
663,0.6882583841463414
664,0.24194263660239104
665,0.6183363787375415
666,0.7607552083333334
667,0.26406787471676013
668,0.35565229788565245
669,0.6798686373472546
670,0.5940359348311655
671,0.27762579309769075
672,0.14853806896138114
673,0.7640885416666666
674,0.44084041690708076
675,0.7883305084745763
676,0.681511286332715
677,0.2428579401086566
678,0.6875000000000001
679,0.6598305084745764
680,0.4090885416666667
681,0.4759368742743383
682,0.6098113207547169
683,0.6078385416666666
684,0.1898152009087789
685,0.43297146985945295
686,0.6872523834745763
687,0.5529545454545455
688,0.11672681602758576
689,0.495
690,0.4962088868529546
691,0.4127895160212233
692,0.37239168728643807
693,0.4684831272970264
694,0.19671572961874728
695,0.6457552083333334
696,0.26193769683825696
697,0.2934123919838205
698,0.5797331957547169
699,0.34256505899013545
700,0.3907892219387755
701,0.27276486216484747
702,0.5402279874213837
703,0.7597523834745763
704,0.5100175361035312
705,0.7804166666666665
706,0.34760568273965275
707,0.23601595474495027
708,0.7647523834745763
709,0.3168531587029698
710,0.6628742213957426
711,0.16587832118248816
712,0.7783100757822687
713,0.6048822750242991
